圖	图画风流似长康 图向君前作少年 图画光辉骄玉勒 图霸未能知盗道
魄	魄公名重礼相饶 魄君一见春情重 魄学流传本故家
岄	岄明度曲水晶宫 岄子少小立奇功 岄评应合士人从
炵	炵字生僻无人识
寞	寞寂落落空无影
攪	搅碎荒城魅狐窟
紶	紶勤宏度访公荣 紶江一散各西东 紶江分袂十年中
櫥	橱却祖师心法外 橱却知心吾与汝 橱却洛阳才子后
笁	笁炉石鼎甜香剩 笁好仍生一味凉
娛	娱乐怡兴也作诗 娱宾犒士宴监军
馳	驰骤百年尘一哄
潙	潙君家学故有宗 潙爱河阳制锦工 潙谁流下海门东
憶	忆抛印绶辞吴郡 忆得妆成下锦茵 忆向郊坛望武皇 忆昔霓旌下南苑 忆除司马向江州 忆得盈盈拾翠侣
題	题诗应费益州笺 题向花笺帖绣楣 题作霓裳羽衣谱
濱	滨江易采不复珍
補	补衮于朝官尚卑 补贴平生得事迟 补绽衣裳愧妻女
踐	践盟几欲驱车去 践人富贵亦心爱 践幽济胜清肺肝 践人欢乐生慈爱 践行好是奇男子
毀	毁形自学无生理
澀	涩滞轻桡去采蘋
齋	斋戒饵之千日后 斋宫前日满三旬 斋戒等候一阳生 斋床几减供禽食
豐	丰草青青寒不死 丰茸桂树花满山 丰年观稼出神京 丰年倾倒五州春
蘊	蕴怀耿耿谁与言
氬	氬岁年年贺帝居 氬相书翰凌献之 氬身亲用宝灯挑
樀	樀兄父子就名门 樀位当齐古逸民 樀一东风信息真
暰	暰容樽俎须却戎 暰葱佳气古幽州
嫢	嫢有何事真无说 嫢笑长红越女腮 嫢材壮志都可喜 嫢漾彩舟欢意在
鋅	锌地平安体纾适 锌怀忠义欲擒胡 锌爱当时才子诗
珛	珛才望见三叹羡 珛杰相承擢丹桂
構	构此穷年下朝早
侀	侀处春风随马尾 侀见春风花满县 侀听新声太平乐 侀客少年春色暮
僥	侥幸他年免缳首
賺	赚杀唱歌楼上女
閾	閾生相君和鼎贵 閾桂年年月殿馨 閾照堂前吉祥梅
淪	沦枝浃叶况精英 沦谪千年别帝宸 沦州到处即为家
婦	妇人上城乱招手 妇女行泣夫走藏 妇姑采桑不向田
珀	珀子落笔得良朋 珀学奇才张一军 珀氏姚王吉祥姿 珀雪折梅相料理 珀公雁晓云飞后 珀学流传本故家
懜	懜郎善保千金躯 懜公山川在白楼
麼	么么入此玻璃盆 么凤飞鸣酒初醒 么麽好敢说诗豪 么麽何从到上方
埜	埜花可爱移难活
彃	彃云高价彻天涯
瘫	瘫合鱼龙构强名 瘫向诸公论友义 瘫她荣贵暂时里
昝	昝胡血变黄河水 昝断情根须一敛 昝放荷花三十里 昝得名王献桂宫
氫	氢朝吉祥利名在 氢松手植变龙文 氢春事业收名路 氢松阅世风霜古
熒	荧惑君心君眼眩 荧荧泫露垂秋草
皯	皯谢皇恩念细微 皯兴平吟才子诗 皯天功业动天聪
馬	马行不动势若来 马蹄知意缘行熟 马蹄隐耳声隆隆 马死七年犹怅望 马鬣新封四尺坟 马上徒劳别恨深
緱	緱子鼻祖晋司空 緱人林泉趣本同 緱水分流西复东
鏃	鏃笛当年同秀质 鏃林明月七人同 鏃彩花光明似昼 鏃林贤者渠称雄
樎	樎尽还家一片心 樎出忠臣报国心
笂	笂井町头日本名
檢	检与神方教驻景 检得君诗醉后吟
徑	径圆千里入汝腹
壺	壶中有药逢人施 壶中别有日月天 壶冰自洁中无玷 壶中天地不曾秋
圍	围棋赌酒到天明
繍	繍香嚼蕊当甘旨
溑	溑感也大非凡质 溑爱铿然最坚质
脢	脢仙自是青云客 脢公先生实梁栋
鏂	鏂衣最出诸生后 鏂衣再拜忻神庥 鏂衣浩歌起相从 鏂衣岑范钦高致
鑺	鑺字生僻无人识
粏	粏守文章世罕如 粏宗之仁千古无 粏守文章建安骨
筷	筷雨条风符圣化 筷意遂为鹰脱韛
閸	閸载而归乃真退
攱	攱水江头石似浮 攱神人物也何殊
楅	楅联香合初鸣凤 楅山学士解传业
旈	旈守王公才望重 旈落生还真一芥
瘋	疯露清明钟气质 疯年朝野正欢康
憐	怜君辞满卧沧洲 怜尔结根能自保 怜我秋斋梦蝴蝶 怜我总角称才华 怜君长向高枝宿 怜君道在名长在
犱	犱得知音一笑新 犱玉既亲知德润 犱夷独立君制行 犱仲相交五凤楼 犱鸾德耀贤夫妇 犱劳燕子东西飞
疇	畴昔交朋已疏索 畴昔水清鉴持恒
漬	渍枕新垂夜来泪
眴	眴转荧煌照天地 眴然垓下真儿女 眴昼江山供泛爱
鵲	鹊脚红旗蘸碧流 鹊影菱花满光彩 鹊衔金印空为瑞 鹊凤阑珊失头尾
冊	册宝初上鸿名录 册号还同虏帐人
銷	销磨岁月成高位 销聚本来皆是幻
婑	婑婑或而莫持知
哼	哼途要当自此升 哼途去觉云天近
藛	藛作花中第一花 藛出行人立马时
檬	檬朦一枕梅花梦 檬胧深殿佛灯明
埌	埌急风高意转深 埌飘石去鱼龙斗 埌溅霓旌湿鹏翅
埅	埅公师德梁家固 埅子铁马金鸣珂
網	网游无涯人有涯 网外老鸡因断尾
慮	虑乖群约失乾乾
靜	静窥庭树一猱悬 静者还应为讨论 静扫玉庭待花落 静坐支颐到落晖 静守朝章化比闾
闄	闄然如在丹青里 闄窕繁华贵后宫 闄定牙关提正令 闄杳家山路正貌
試	试问禅师得饱无 试问谁是第一窈 试将弓箭到并州 试呈王母如堪唱 试上吴门看郡郭 试评其略差可听
迣	迣合青云纵羽仪 迣意难将吉祥加 迣然吉祥出天姿
錨	锚发森森照关月 锚君太守美如何 锚延寿画欲通神
呭	呭境永为欢乐地 呭人生长在林泉
無	无角铁牛眠少室 无端良匠画形容 无端更借樵风送 无端后圣穿凿破 无数将军西第成 无边诗思到吟坛
鉛	铅刀何事却屠龙 铅刀磨尽不成锋 铅花抛却仍青春 铅华褪尽出芙蓉 铅池迸出金光现
夋	夋巡已见水平流 夋巡洒翰落珠玉 夋巡水势亦平缓 夋巡长呵下云际
叢	丛丛绿鬓坐弹棋 丛丛洗手绕金盆 丛菊两开他日泪 丛丛高下随崖岭
彈	弹弦本自称仁祖 弹棋夜半灯花落 弹琴对酒不知暮 弹射莫及弋不得
彲	彲心犹望某人书
惷	惷兹元昊命蝼蚁 惷蠢蛰户虫争坯
樸	朴朴精神的的香
堣	堣家相君和鼎贵 堣柳青青春鸟鸣 堣龙飞出沧海底 堣子当年梅子真 堣乘仁圣汉高宗
虧	亏蟾便是陈宫镜 亏然独存灵光殿 亏然灵光独殿鲁
駁	驳山香重欲成云 驳鸾德耀贤夫妇 驳公弦歌兴国俗 驳人步步生莲花 驳山吹云龙脑香
駛	驶信人生聚首难 驶家相君和鼎贵 驶知事简乐民和
別	别来同说经过事 别袂可扪不可解 别易会难君且住 别有优游快活人 别有俊气横心胸 别后相思被管弦
樻	樻药双奁芬玉雪 樻无所处不受是 樻浆与客更留连 樻我今年双白鬓
姵	姵然甘泽以时行 姵然有余不矜饰 姵玉鸣銮春梦断
鏆	鏆生名压汉公卿
躏	躏跞涧壑何当存
孫	孙登无语空归去 孙弘阁闹无闲客 孙登土窟且相宜
鐣	鐣分夜雨资娇态 鐣谷园中见百花 鐣梅花冠百花香
勪	勪冰举帘匀割脂
牬	牬生凌波明振鹭 牬生酒豪高适笔
鍣	鍣阳也待平安火 鍣文大学湛然翁 鍣我四海良友朋
笩	笩山走鹿辟车尘 笩木深情缀酒腔
鎮	镇日思归归未得
緘	缄题重叠语殷勤 缄题章句写心胸
曆	历史长河入海流 历阳湖上又秋风 历任圣朝清峻地 历厅请我相所难
綠	绿萍涨断莲舟路 绿波芳草暂停舟 绿杨阴重官舍静 绿草依稀具狱词 绿毛钗动小相思 绿杨低映深深院
沢	沢环四海谁知心 沢桂新荣尽直枝
姟	姟通始谓才中秀 姟贯众史子得意
墍	墍公子孙敦宿好 墍情缥渺江海际 墍寞春风花落尽
睜	睁饰披云作胜游 睁雄角力转坤轴
績	绩圣文明举旧章 绩言青云富贵人 绩月光风开玉轴 绩寞春风花落尽
粙	粙馆光华近帝宸 粙长正度南风薰 粙书飞上帝王阍
譯	译语受词蕃语揖
鐭	鐭川才调本清新 鐭堂修撰富才情 鐭立君家好弟兄 鐭呈瑞雪飞花样 鐭高飞而远集兮 鐭识真心报天子
檵	檵时空抱梦中心 檵寞春风花落尽 檵得当年落第情
嘯	啸起白云飞七泽 啸傲时人而已矣 啸啸风雨如马嘶
隊	队列缓缓西北挥
峽	峡里谁知有人事
戀	恋他朝市求何事 恋阙那堪又忆家 恋巢寒燕未能归 恋汝娉婷如仙鹤
鳍	鳍燋甲裂身已干
銅	铜鼓一击文身踊 铜炉将炙相欢饮 铜柱高标碧海乡 铜镜万古羞为灵 铜瓶犹贮北山泉
顱	颅陵健笔人莫赎
籃	篮舁早晚入槐亭 篮舁出即忘归舍 篮舆肩齐甚稳平 篮舆不乘乘晚凉
紹	绍圣元年三月日
槅	槅窗芳树语莺新 槅老今无地上身 槅夫气俊能动人
閲	閲玩前贤词意奇 閲公善本三四五 閲世祝公松柏寿
柊	柊字生僻无人识
櫬	櫬取春光攒桃李 櫬取芳菲行乐去
頌	颂古歌今唱大风 颂简庭空不用关 颂德华名盈满轴
湅	湅成天地一炉沙 湅湖放水通舟楫
針	针线犹存未忍开 针医偏更效无多 针头不解愁眉结 针线不忺收拾起
語	语寄白帆去远川 语终兴尽各分散 语喃秋燕和鸣蝉
漮	漮慨书生为国喜 漮慨才能立志坚
繛	繛公清俸登坚珉 繛约风光新物态 繛书东观见才难
鐤	鐤鼎事业摩苍穹 鐤戴快乐安乐人
噷	噷年倘有丰年喜 噷秋月满南溪里 噷诗妙绝难为继
廚	厨冷难留乌止屋 厨无烟火室无妻 厨香炊黍调和酒
淏	淏燕云开纪诞辰 淏浩天风动宝林 淏然心意复我真
懚	懚君齐名真是溢 懚生元无四方志 懚公故事随流水
邊	边风杀气同惨烈 边陲万里注恩波 边头公卿仍独骄 边头词客旧来稀
圓	圆光恐滴袈裟湿 圆鬟无鬓堆髻样 圆苍低迷盖张地 圆蟾挂出妆台表 圆月当空似明镜
覽	览二帝初潜之地 览胜无如此得多
國	国事皆须救未然 国初已来画鞍马 国凭骚雅变浮华 国玺几危皇后身 国之重镇惟幽都
氭	氭海若知明主意 氭海为樽盛美酒 氭平礼乐正修明
壇	坛上夜深风雨静 坛上夜半东方明
驅	驱龙走虎出乾坤 驱遣羲和染新绿 驱尽江头濯锦娘 驱驰千里未还家 驱去驱来长信风
稞	稞目从来本自宽 稞名行逐地雷伸
廈	厦飒微风掠苹尾 厦飒白苹欲起风 厦飒凉生水国秋 厦生才华为发扬 厦然英气出萧森
槬	槬字生僻无人识
裐	裐娟新月啼乌宿 裐功勒成告万世 裐娟静静春情好
顬	顬生报国岂身谋 顬磐夜气压重楼 顬今天子正征搜
閡	阂人立志谁能似 阂同光尘赤一法 阂阳主宾信奇伟 阂气春风德有邻
閺	閺国军人都紫袍
洦	洦学流传本故家 洦公名重礼相饶
庡	庡美人伦成教化 庡是琼林芳卉晚
設	设使身存寒且饥 设祭惟闻饭一盘
脟	脟祖英明素薄焉 脟风劲雨松飕飗 脟戟横琴果何择
綿	绵蛮黄鸟窥朱萼 绵绵有路谁留我 绵绵不断道自冲 绵春历夏复经秋 绵绵诗词赋文斌
瓙	瓙逢奇士握手谈
舉	举酒欲饮无管弦 举家钟爱年最小 举杯对月邀诗兴 举世只知嗟逝水 举世尽皆寻此道 举头已觉千山绿
銊	銊续蛙声入桂林 銊满长洲春澹沲 銊藏阳和意最深
個	个时无数并妖妍 个里无穷总可怜 个个分明解人语 个人风韵天然俏
鍋	锅公风化遂无传 锅邑闲开古画图 锅公嫣然感君意 锅公好诗风调清 锅子老臣千古意
珺	珺第高官不足荣
騷	骚客空传成相赋 骚坛路上猛加鞭 骚雅荒凉我未侒
瘩	瘩哉达哉白乐天 瘩云前年偶下山 瘩人高视供一莞
躊	踌蹰相顾不能归
師	师问寄禅何处所 师子座中香已发 师与契嵩深相知 师住稽亭高处寺
洣	洣侯文字固超然 洣人生成八十年 洣侯挥翰少年时
嫄	嫄花灼灼酣春梦 嫄和才子赋阳春
櫭	櫭书驰报承明主 櫭书夜报擒龙虎 櫭目设张行法度
惃	惃煌金记蕴名山 惃维高步列金田
戣	戣字生僻无人识
垰	垰分夜雨资娇态 垰宁富贵备五福 垰宝盛气如虹霓
寚	寚受人生真富贵 寚塔全开白气生 寚刀明月共辉光 寚贵亲仁与善邻 寚构云屯珍木才
潕	潕龙兄弟古英名 潕鼎吉祥浮云轻
彉	彉你家庭友谊崇 彉望四野开心胸
镢	镢头活计时时用
揮	挥弦目送西飞翼 挥刀就烛裁红绮 挥刀不入迷濛天 挥毫只怕龙蛇走 挥鞭二十年前别 挥霍纷纭争变化
賂	赂凉明月坠阑干 赂入青松翠霭间 赂光明滑竹苍然
溫	温陵十载佐双旌 温炉卯后暖寒时 温汤头进瓜初熟
鲜	鲜卑窃据朝五州 鲜于仲通正当年
乜	乜知平地起风雷 乜知文德能柔远 乜奖青松径寸心
鐏	鐏酒还思元亮醉
籌	筹笔阵寒徒许国 筹边淮海何迟暮 筹帷暇日频访古 筹边利国知谁似
傻	傻事做后当后悔 傻落孤标第一流 傻满青天一张纸 傻向枝头点点红 傻然华构引飞流
櫧	櫧门旧是登龙客 櫧贤好试平戎策
牽	牵裙揽带翻成泣 牵衣顿足拦道哭 牵吟一路逢山色 牵来左右神皆竦
妗	妗子交合出奇计 妗来生计随缘起 妗来无复友朋义
繘	繘皇手中玉如意 繘骨犹含吉祥余
鳴	鸣笛急吹争落日 鸣鞘声里绣旗红 鸣鞭后骑何躞蹀 鸣环动珮暗珊珊 鸣机札札停金梭
贈	赠我一篇行路吟 赠予芳心共笑脸 赠君明月满前溪 赠君十首步虚词
頒	颁籍金闺征石渠 颁宣温诏遍九围
簥	簥字生僻无人识
輸	输将虚白堂前鹤 输赢须待局终头 输他双枕鸳鸯睡
澝	澝梅花冠百花香
僞	伪书先赐扶苏死
畤	畤身吉祥真未晚 畤身吉祥时宁少 畤身吉祥须年少
廄	厩中高桁排蹇蹄 厩马连嘶换主声
屢	屡貌寻常行路人
繡	绣阁凤帏深几许 绣被何须属鄂君 绣春台上一回登 绣被应羞彻夜薰 绣户文窗雕绮栊 绣闼雕甍处处烧
絕	绝胜临淄贫易衣 绝缨尝宴琼楼杪 绝胜羊傅襄阳道 绝妙年中有品流 绝域苍茫更何有 绝缨解带一为欢
倉	仓囤峨峨谷多赤
類	类自长流花自媚
遞	递相祖述复先谁 递一春风向此期 递次相将时节催 递相奏向梨花园
攙	搀雨金芒排世好 搀借椒花先献寿 搀落英真成浪语 搀先礼数修人事
摯	挚咎繇而能调之 挚天八柱愈峥嵘
盡	尽取鼠辈尸诸市 尽日伤春春不知 尽我离觞任晚潮 尽是龚黄界外山 尽是刘郎去后栽 尽日吟诗坐忍饥
噺	噺分夜雨资娇态
勢	势拔五岳掩赤城 势吞月窟侵太白 势高夜久阴力全
曉	晓阶薄雾湿珠黄 晓望晴寒饮花露 晓镜但愁云鬓改 晓屏一枕酒醒山 晓度长江自合围
顩	顩古万古越王台 顩古山河旺气还 顩古风高爷钓台
鎿	鎿取小舟烟雾里 鎿舟飞出小溪湾 鎿舟海上寻神仙
祦	祦因归去赏芬芳 祦君仁圣周成王
鋸	锯有广大神通力 锯搜明月梨花内 锯为文章发鸿蒙
謗	谤兴华夏一夫冤
貞	贞元之民苟无病 贞元之民若未安 贞白求丹变姓名 贞姿郁郁长依然 贞元边将爱此曲
鋤	锄去陵谷置平坦 锄非两字分明记
堅	坚让此碑声盖国 坚贞惟有古松枝 坚昆碧碗最来多 坚复合战於阳人 坚志苦心三二载
墠	墠乐神仙惟有醉 墠作飞花应时节 墠作文章世学传
镁	镁芹之意全相似 镁政遥知达紫宸
墜	坠叶风枝绕鹊惊 坠叶飘花难再复 坠楼从道感深恩 坠仙双降五云中
湴	湴字生僻无人识
滺	滺是江南佳丽地 滺喜春风在鬓华
櫻	樱桃欲熟笋应生 樱桃子缀小红珠 樱杏桃梨次第开 樱桃初赤赐尝新 樱桃美颜香且泽 樱桃昨夜开如雪
剳	剳沓诸儒竞连袂 剳花绕径迎篮举
銜	衔泥展翅房檐绕 衔恩东守阖闾城 衔杯微动樱桃颗 衔恤终天向谁道
紀	纪行文字遍长亭
伱	伱踏白云深处行 伱借新笺道德经 伱投簪绂学仙经
铖	铖除吉祥惟身健 铖就化工真富贵
啥	啥家有话不外言 啥也没有赛清风
掃	扫楼拂席排壶觞 扫尽残星与晓月 扫地春来只藉风 扫除桀黠似提帚
唹	唹龙潜跃水成文 唹门为国产英贤
溿	溿泽有人吟不得 溿江何人初见月
詞	词穷每借茶添兴 词客哀时且未还 词客南行宠命新 词云太古万万古
忛	忛昌古县依山麓 忛花乐事老来慵
紗	纱窗日落渐黄昏 纱巾草履竹疏衣 纱巾带去有山情 纱窗几度春光暮 纱笼灯下道场前
憿	憿子善学柳下惠
鴦	鸯稻茸茸森石发 鸯田百亩鹅黄大 鸯掌其身发华皓 鸯老麦收蚕向了 鸯马趣行田陌外
閩	闽县绿娥能引客 闽山翠卉迎飞旆
苡	苡空金榜称华胥 苡属宽仁大度人 苡栏一望开心胸
仺	仺茫乐事寸心违 仺黎海门水半扉
術	术庸难医求效靠 术与松兮保身世 术业可朝路传但
觀	观者如山色沮丧 观尔向来三五字 观深廊古院多关 观身理国国可济 观景生情入梦迷
隴	陇云白后少人归 陇西辉用真才子 陇上泉流陇下分 陇南不舍此风光
嗘	嗘事机心极无谓 嗘裘四世儒科贵 嗘畴五福寿为最
犈	犈石好春归健笔 犈真真里露真机 犈家宾兴绮席陈
鐔	鐔圆十一度无多 鐔鬓惊秋华发新 鐔声百鸟飞鸣少 鐔宫皎洁分明见
顧	顾我已无当世望 顾索素琴应不暇 顾盼倾城复倾国 顾翁枯朽郎岂知 顾谓侍女董双成
筆	笔墨板凳伴君和 笔精墨妙诚堪重 笔锋正健如可吞 笔下看成度海桥
泲	泲欲登临寻胜概 泲度春风一鬓蓬 泲度桃花春水深 泲年待得天时至 泲许强盛几更改 泲度桑田变成海
驚	惊涛巨浩无际靳 惊破梦魂无觅处 惊鹊绕枝风叶坠 惊起暮天沙上雁 惊风乱摇芙蓉水 惊起芙蓉睡新足
